code_key;q1;q2;q3;q4;q4a;q6;q7;q8;q9;q10;q11;q12;q13;q14;q14a;q15;q16;q17;q18;q20;q21;q22;q22a;q22b;q23;q24;q39;q40;q41;q42;q43;q44;q45;q45a;q73;q74;table30_2
1400211;;;;;;;الزهراء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400212;;;;;;;أم قصر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400213;;;;;;;الزينبية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400214;;;;;;;سكينـــة ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400215;;;;;;;رام الله;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400216;;;;;;;الفضيلة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400217;;;;;;;النهضة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400218;;;;;;;الوطـــن;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400219;;;;;;;الفردوس;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400221;;;;;;;السنابل;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400222;;;;;;;فتـــــح;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400223;;;;;;;العفـــة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400224;;;;;;;النخيل;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400225;;;;;;;بلقيس الأساسية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400226;;;;;;;الافراح;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400227;;;;;;;الفراقـــد;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400228;;;;;;;المقاصد;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400229;;;;;;;دجـلـــة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400230;;;;;;;مصطفى جمال الدين;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400231;;;;;;;الانصاف;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400232;;;;;;;بــردى;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400233;;;;;;;البيارق;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400234;;;;;;;الابداع;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400235;;;;;;;الامــاني;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400236;;;;;;;نهج البلاغة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400237;;;;;;;النــــور;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400238;;;;;;;الفرقان;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400239;;;;;;;الشيماء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400240;;;;;;;الرسالة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400241;;;;;;;القاهـــرة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400242;;;;;;;الطائف;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400243;;;;;;;التراث العربي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400244;;;;;;;تبــــوك;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400245;;;;;;;المكاسب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400246;;;;;;;صفيـــن;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400248;;;;;;;التضحية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400249;;;;;;;حبيب بن مظاهر الاسدي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400250;;;;;;;فتى الاسلام;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400251;;;;;;;المسعودي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400252;;;;;;;حيفـــا;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400253;;;;;;;الحر الرياحي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400254;;;;;;;ابي الفضل العباس;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400255;;;;;;;الانصار;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400256;;;;;;;المجـــد;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400257;;;;;;;السهل الاخضر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400258;;;;;;;العصمة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400259;;;;;;;الطبرسي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400260;;;;;;;الابرار;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400261;;;;;;;المهاجرين;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400262;;;;;;;الرحمة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400263;;;;;;;6كانون;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400264;;;;;;;الحوراء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400265;;;;;;;البيعة الكبرى;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400266;;;;;;;الغـــدير;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400267;;;;;;;صـــور;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400268;;;;;;;البــراق;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400269;;;;;;;الخيرات ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400270;;;;;;;الرازي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400271;;;;;;;الارتقاء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400272;;;;;;;التضامن;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400273;;;;;;;المولد النبوي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400274;;;;;;;العراق الحر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400275;;;;;;;الهلال الخصيب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400276;;;;;;;الهجـرة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400277;;;;;;;الفــــداء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400278;;;;;;;السراج المنير;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400279;;;;;;;سعيد بن جبير;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400280;;;;;;;فـــــدك;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400281;;;;;;;الفتـــوة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400282;;;;;;;الشموخ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400283;;;;;;;المرتضى;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400284;;;;;;;الربـــاب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400285;;;;;;;ذو الفقار;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400286;;;;;;;البتـــــول;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400287;;;;;;;زمـــــزم;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400288;;;;;;;التوحيـــد;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400289;;;;;;;عبد المطلب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400290;;;;;;;الاسوة الحسنة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400291;;;;;;;نسيبة الانصارية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400292;;;;;;;الجنـــان;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400293;;;;;;;ابراهيم الخليل;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400294;;;;;;;عبد الله بن رواحة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400295;;;;;;;ذات السلاسل;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400296;;;;;;;الحق المبين;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400297;;;;;;;الشـــرف;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400298;;;;;;;الامام الرضا ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400299;;;;;;;اليعقوبي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400300;;;;;;;الدوحــة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400301;;;;;;;الرفــــاه;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400302;;;;;;;حجر بن عدي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400303;;;;;;;جعفر بن ابي طالب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400304;;;;;;;مصعب بن عمير;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400305;;;;;;;السلف الصالح;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400306;;;;;;;الوعد الحق;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400307;;;;;;;موسى بن نصير;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400308;;;;;;;قبــــاء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400309;;;;;;;بلاط الشهداء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400310;;;;;;;ام القرى;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400311;;;;;;;النهرين;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400312;;;;;;;علي الاكبر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400313;;;;;;;الامام زين العابدين ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400314;;;;;;;الامام المنتظر ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400315;;;;;;;الامام الباقر ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400316;;;;;;;القاســم;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400317;;;;;;;جابر الانصاري;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400318;;;;;;;الكـــوثر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400319;;;;;;;الطوسي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400320;;;;;;;البيـــان;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400321;;;;;;;سبـــــأ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400483;;;;;;;الاضواء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400485;;;;;;;الشــــام;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400486;;;;;;;الروضتين;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400487;;;;;;;الاسكندرية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400488;;;;;;;الرياض;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400489;;;;;;;الاوليـــاء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400490;;;;;;;الصفــوة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400491;;;;;;;الوفــــاق;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400492;;;;;;;المحبـــة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400493;;;;;;;كربلاء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400494;;;;;;;المنذرية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400495;;;;;;;محمد رضا الشبيبي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400496;;;;;;;الشرقـــي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400497;;;;;;;الجامعــة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400498;;;;;;;طه الرسول;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400499;;;;;;;السابقـــون;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400500;;;;;;;الشهيد مهدي الحكيم;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400501;;;;;;;خاتم الأنبياء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400502;;;;;;;المستجار;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400503;;;;;;;الذكوات;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400682;;;;;;;الشهيد مؤمل الصدر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400683;;;;;;;البلد الأمين;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400684;;;;;;;الولاية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400685;;;;;;;ناشئة الليل;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400686;;;;;;;الشهيد جواد شبر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400711;;;;;;;خير البرية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400712;;;;;;;الدعاء المستجاب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400713;;;;;;;المباهلـــة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400721;;;;;;;عبود غفلة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400723;;;;;;;عدنان زوين;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400744;;;;;;;الأطـــايب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400747;;;;;;;المغفــــرة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400748;;;;;;;الاعتمـــاد;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400756;;;;;;;الحور العين;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400757;;;;;;;الصحـــوة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400758;;;;;;;الابتهـــاج;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400759;;;;;;;اسود الرافدين;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400761;;;;;;;حــــــواء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400762;;;;;;;الحواريون;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400763;;;;;;;القائـــــم;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400773;;;;;;;عبد الله بن عباس;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400776;;;;;;;ارض الانبياء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400780;;;;;;;البشير;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400785;;;;;;;الروافد;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400787;;;;;;;ورقة بن نوفل;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400828;;;;;;;ال ابراهيم;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400829;;;;;;;الصديقة الطاهرة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400830;;;;;;;الشريعة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400831;;;;;;;ال ياسين;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400832;;;;;;;ال عمران;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400833;;;;;;;الفاضلات;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400834;;;;;;;العهد;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400835;;;;;;;التقوى;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400836;;;;;;;البينات;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400838;;;;;;;كفيلة الايتام;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400877;;;;;;;ال يعقوب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400878;;;;;;;المولى المقدس;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400879;;;;;;;الصافات;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400880;;;;;;;ابي طالب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400881;;;;;;;اسيا بنت مزاحم;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400898;;;;;;;الشهيد محمد علي نصار;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400899;;;;;;;دار المقامة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400927;;;;;;;محمد جواد مغنية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400928;;;;;;;الخصال الحميدة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400929;;;;;;;سيف الحق;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400955;;;;;;;الرسل;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400963;;;;;;;الذاريات;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400964;;;;;;;الشهيد نزهان الجبوري;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400965;;;;;;;التفوق;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400966;;;;;;;الكعبة المشرفة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400999;;;;;;;المرسلات;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401005;;;;;;;الشهيد حسن شحاته;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401006;;;;;;;التسنيم;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401007;;;;;;;السلام;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401008;;;;;;;ثغر العراق;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401009;;;;;;;المآثر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401010;;;;;;;التشريق;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401011;;;;;;;البشرى;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401012;;;;;;;يوم التروية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401082;;;;;;;الودق;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401083;;;;;;;المزمل;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401084;;;;;;;المعارج;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401085;;;;;;;الشهيد فيصل الزاملي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401086;;;;;;;الريحان;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401087;;;;;;;جرف النصر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401123;;;;;;;الاديب كاظم شكر ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401124;;;;;;;العاديات;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401126;;;;;;;الريان;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401127;;;;;;;الافاضة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401128;;;;;;;بشائر الخير ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401131;;;;;;;النسمات;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401132;;;;;;;ال طه ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401145;;;;;;;بيت النبوة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401146;;;;;;;صاحب الحوض;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401183;;;;;;;ملائكة الرحمة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401187;;;;;;;الموصل الحرة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401188;;;;;;;المشعر الحرام;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401221;;;;;;;بحار الانوار;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401270;;;;;;;الشهيد ابو تحسين الصالحي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401271;;;;;;;عطاء النجف للبنين ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401272;;;;;;;عطاء النجف للبنات ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401281;;;;;;;عطر الجنة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401290;;;;;;;الميسم ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401295;;;;;;;الشهيد كريم الخاقاني;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401308;;;;;;;الرحاب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401311;;;;;;;قنبر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401312;;;;;;;فاطمة الصغرى;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401369;;;;;;;الشهيد عبدالرضا الفياض الاساسية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401370;;;;;;;الشهيد جعفر المظفر الاساسية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401371;;;;;;;النجوى;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401372;;;;;;;العوالي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401373;;;;;;;الياسمين;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401384;;;;;;;الاوسمة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401431;;;;;;;فيض الكوثر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401432;;;;;;;الجمان;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401448;;;;;;;المرام;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401459;;;;;;;العهد الزاهر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401460;;;;;;;جنائن بابل;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401478;;;;;;;العشق الحسيني;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401480;;;;;;;البعد الرابع;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401481;;;;;;;ازهار الربيع;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401482;;;;;;;حماة الوطن;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401488;;;;;;;البواسل;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401491;;;;;;;الجود;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401498;;;;;;;الكرم;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401509;;;;;;;بيعة الغدير;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401535;;;;;;;المسلة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401536;;;;;;;الاخوة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401537;;;;;;;الود;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401538;;;;;;;التفاؤل;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401539;;;;;;;الوقار;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401540;;;;;;;العنبر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401541;;;;;;;المسك;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401569;;;;;;;موطني;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401589;;;;;;;الرايات ;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401590;;;;;;;المناسك;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400159;;;;;;;التهجد;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
